Player ID,Name,Position,Age,Market Value (€)
1047336,Alin Chintes,DF,20,"€100,000"
630268,Andrei Coubis,DF,23,"€500,000"
556020,Jasper van der Werff,DF,28,"€300,000"
462140,Jonathan Cissé,DF,29,"€500,000"
239290,Elio Capradossi,DF,30,"€300,000"
338220,Miguel Ângelo Gomes da Silva,DF,31,"€350,000"
220694,Dino Mikanović,DF,32,"€300,000"
270356,Iulian Cristea,DF,32,"€1,000,000"
85113,Alin Toșca,DF,34,"€150,000"
1157870,Taiwo Quadri Olakunle,FW,20,N/A
759616,Omar El Sawy,FW,22,"€550,000"
748513,Atanas Trică,FW,22,"€300,000"
619309,Oucasse N'Dayanthane Mendy,FW,25,"€750,000"
532568,Virgiliu Postolachi,FW,26,"€650,000"
560364,Jovo Lukić,FW,28,"€1,500,000"
526387,Issouf Macalou,FW,28,"€900,000"
83590,Alexandru Chipciu,FW,37,"€300,000"
1024565,Tudor Cosa,GK,17,N/A
779379,Ştefan Daniel Lefter,GK,22,"€400,000"
240507,Edvinas Gertmonas,GK,30,"€1,400,000"
778883,Andrei Cosmin Gheorghiță,MD,24,"€500,000"
506853,Mouhamadou Drammeh,MD,27,"€350,000"
541971,Jug Stanojev,MD,27,"€700,000"
441683,Gabriel Simion,MD,28,"€850,000"
577452,Dorin Marian Codrea,MD,29,"€750,000"
445824,Andrej Fábry,MD,29,"€500,000"
346908,Alessandro Murgia,MD,30,"€800,000"
169037,Ovidiu Bic,MD,32,"€1,000,000"
227952,Andrei Artean,MD,33,"€550,000"
83838,Dan Nistor,MD,38,"€300,000"
